ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
8/1/2011,4,787,1
8/1/2011,9,786,1
8/2/2011,4,777,1
8/2/2011,6,777,1
8/2/2011,9,739,1
8/3/2011,6,729,1
8/3/2011,6,737,1
8/3/2011,6,740,1
8/4/2011,1,778,1
8/5/2011,4,784,1
8/5/2011,4,728,1
8/5/2011,6,720,1
8/6/2011,8,729,1
8/7/2011,6,780,1
8/7/2011,9,775,1
8/7/2011,9,780,1
8/7/2011,10,779,1
8/7/2011,10,737,1
8/8/2011,1,736,1
8/8/2011,10,771,1
8/9/2011,9,773,1
8/9/2011,9,735,1
8/9/2011,9,740,1
8/10/2011,7,777,1
8/10/2011,9,720,1
8/11/2011,4,785,1
8/11/2011,6,777,1
8/11/2011,9,728,1
8/12/2011,1,728,1
8/12/2011,4,729,1
8/12/2011,4,735,1
8/12/2011,6,780,1
8/12/2011,8,777,1
8/12/2011,10,764,1
8/12/2011,10,765,1
8/13/2011,1,787,1
8/13/2011,4,778,1
8/13/2011,4,787,1
8/13/2011,6,729,1
8/13/2011,10,790,1
8/14/2011,6,735,1
8/14/2011,7,738,1
8/14/2011,8,714,1
8/14/2011,8,726,1
8/14/2011,8,730,1
8/14/2011,10,715,1
8/15/2011,1,728,1
8/15/2011,1,729,1
8/15/2011,1,736,1
8/15/2011,6,729,1
8/15/2011,6,778,1
8/15/2011,8,738,1
8/15/2011,10,726,1
8/16/2011,4,756,1
8/16/2011,4,785,1
8/16/2011,6,778,1
8/17/2011,4,720,1
8/17/2011,7,739,1
8/17/2011,9,729,1
8/18/2011,1,760,1
8/18/2011,7,777,1
8/18/2011,7,778,1
8/19/2011,4,777,2
8/19/2011,7,740,1
8/19/2011,8,723,1
8/20/2011,4,729,1
8/20/2011,8,720,1
8/20/2011,9,729,1
8/20/2011,9,729,1
8/20/2011,9,730,1
8/21/2011,1,714,1
8/21/2011,8,714,1
8/22/2011,4,720,1
8/23/2011,4,777,1
8/23/2011,10,762,1
8/24/2011,1,786,1
8/24/2011,1,735,1
8/24/2011,4,778,1
8/24/2011,4,780,1
8/24/2011,4,786,1
8/24/2011,4,728,1
8/24/2011,6,778,1
8/24/2011,9,714,1
8/24/2011,9,780,1
8/24/2011,10,780,1
8/25/2011,4,715,1
8/25/2011,4,732,1
8/25/2011,4,765,1
8/25/2011,7,787,1
8/25/2011,7,729,1
8/25/2011,9,740,1
8/26/2011,1,776,1
8/26/2011,7,762,1
8/26/2011,9,726,1
8/26/2011,9,766,1
8/27/2011,6,777,1
8/27/2011,8,777,1
8/28/2011,1,740,1
8/28/2011,4,775,1
8/28/2011,6,723,1
8/28/2011,6,777,1
8/29/2011,4,777,1
8/29/2011,4,789,1
8/29/2011,7,777,1
8/29/2011,7,729,1
8/30/2011,1,777,1
8/30/2011,1,780,2
8/30/2011,4,764,1
8/30/2011,6,782,1
8/30/2011,6,728,1
8/30/2011,7,739,1
8/30/2011,9,779,1
8/30/2011,9,729,1
8/30/2011,10,730,1
8/31/2011,1,780,1
8/31/2011,1,768,1
8/31/2011,7,730,1
8/31/2011,9,780,1
