ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
9/1/2011,1,720,1
9/1/2011,6,735,1
9/2/2011,7,778,1
9/2/2011,9,785,1
9/3/2011,1,777,1
9/3/2011,1,738,1
9/3/2011,4,766,1
9/3/2011,6,774,1
9/3/2011,9,762,1
9/3/2011,9,780,1
9/3/2011,9,728,1
9/3/2011,9,761,1
9/4/2011,6,777,1
9/4/2011,6,741,1
9/4/2011,7,728,1
9/4/2011,10,784,1
9/5/2011,1,777,1
9/5/2011,4,762,1
9/5/2011,4,737,1
9/5/2011,6,720,1
9/5/2011,9,777,1
9/5/2011,9,785,1
9/6/2011,1,714,1
9/6/2011,4,777,1
9/6/2011,4,778,1
9/6/2011,8,762,1
9/6/2011,9,780,1
9/6/2011,10,723,1
9/7/2011,4,720,1
9/7/2011,9,758,1
9/8/2011,6,775,1
9/8/2011,9,760,1
9/8/2011,9,738,1
9/9/2011,4,777,1
9/9/2011,7,777,1
9/9/2011,7,778,1
9/9/2011,8,780,1
9/10/2011,9,785,1
9/10/2011,9,728,1
9/10/2011,10,789,1
9/10/2011,10,729,1
9/11/2011,8,738,1
9/11/2011,9,780,1
9/11/2011,10,789,1
9/12/2011,4,714,1
9/12/2011,6,736,1
9/13/2011,4,758,1
9/13/2011,4,774,1
9/13/2011,6,777,1
9/13/2011,7,777,1
9/13/2011,9,778,1
9/13/2011,10,723,1
9/14/2011,10,737,1
9/14/2011,10,776,1
9/15/2011,1,787,1
9/15/2011,6,715,1
9/15/2011,6,779,1
9/15/2011,6,729,1
9/15/2011,10,729,1
9/15/2011,10,730,1
9/16/2011,1,778,1
9/16/2011,1,737,1
9/16/2011,4,777,1
9/16/2011,6,778,2
9/16/2011,6,729,1
9/17/2011,4,764,1
9/17/2011,6,764,1
9/17/2011,8,714,1
9/18/2011,1,740,1
9/18/2011,8,773,1
9/18/2011,9,729,1
9/19/2011,1,720,1
9/19/2011,1,789,1
9/19/2011,1,728,1
9/19/2011,6,738,1
9/19/2011,10,781,1
9/20/2011,6,787,1
9/20/2011,6,779,1
9/20/2011,10,777,1
9/20/2011,10,738,1
9/21/2011,1,738,1
9/21/2011,4,777,1
9/21/2011,7,780,1
9/21/2011,7,729,1
9/22/2011,4,735,1
9/23/2011,4,777,1
9/23/2011,6,764,1
9/23/2011,8,791,1
9/23/2011,10,741,1
9/23/2011,10,761,1
9/24/2011,1,732,1
9/24/2011,1,735,1
9/24/2011,6,774,1
9/24/2011,10,715,1
9/25/2011,1,739,1
9/25/2011,7,728,1
9/26/2011,1,783,1
9/26/2011,1,738,1
9/26/2011,1,793,1
9/26/2011,4,777,1
9/26/2011,4,785,1
9/26/2011,6,715,1
9/26/2011,8,729,1
9/26/2011,8,736,1
9/26/2011,8,782,1
9/26/2011,9,788,1
9/27/2011,8,728,1
9/27/2011,10,732,1
9/28/2011,1,777,1
9/28/2011,6,728,1
9/28/2011,8,729,1
9/28/2011,9,723,1
9/29/2011,6,728,1
9/29/2011,10,740,1
9/30/2011,1,771,1
9/30/2011,4,705,1
9/30/2011,6,728,2
9/30/2011,8,738,1
9/30/2011,9,705,1
9/30/2011,10,728,1
