ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
12/1/2011,1,715,1
12/1/2011,6,735,1
12/1/2011,7,720,1
12/1/2011,7,786,1
12/1/2011,8,723,1
12/1/2011,8,777,1
12/1/2011,9,714,1
12/1/2011,9,740,1
12/2/2011,6,774,1
12/3/2011,1,728,1
12/3/2011,1,735,1
12/3/2011,6,764,1
12/3/2011,6,728,1
12/3/2011,9,788,1
12/3/2011,10,720,1
12/4/2011,1,778,1
12/4/2011,1,739,1
12/4/2011,8,777,1
12/4/2011,9,729,1
12/5/2011,4,714,1
12/5/2011,4,728,1
12/5/2011,6,778,1
12/5/2011,8,785,1
12/5/2011,9,777,1
12/5/2011,10,714,1
12/5/2011,10,715,1
12/6/2011,1,728,1
12/6/2011,4,715,1
12/6/2011,6,785,1
12/6/2011,8,763,1
12/7/2011,4,766,1
12/7/2011,4,728,1
12/7/2011,4,740,1
12/7/2011,6,774,1
12/7/2011,7,720,1
12/7/2011,7,795,1
12/7/2011,9,764,1
12/7/2011,10,798,1
12/8/2011,4,714,1
12/8/2011,9,790,1
12/8/2011,9,777,1
12/8/2011,10,762,1
12/9/2011,4,723,1
12/9/2011,4,780,1
12/9/2011,4,730,1
12/9/2011,4,737,1
12/9/2011,6,771,1
12/9/2011,6,775,1
12/9/2011,8,779,1
12/9/2011,9,779,1
12/9/2011,9,730,1
12/10/2011,7,737,1
12/10/2011,9,778,1
12/11/2011,1,771,1
12/11/2011,9,776,1
12/11/2011,9,777,1
12/12/2011,4,720,1
12/12/2011,6,714,1
12/12/2011,7,714,1
12/12/2011,7,730,1
12/12/2011,7,736,1
12/12/2011,8,778,1
12/12/2011,10,785,1
12/13/2011,1,780,1
12/13/2011,1,785,1
12/13/2011,4,735,1
12/13/2011,6,729,1
12/13/2011,8,723,1
12/13/2011,9,786,1
12/13/2011,9,730,1
12/14/2011,1,740,1
12/14/2011,4,779,1
12/14/2011,6,720,1
12/15/2011,1,762,1
12/15/2011,1,778,1
12/15/2011,6,777,1
12/15/2011,7,789,1
12/15/2011,8,728,1
12/15/2011,8,738,1
12/15/2011,9,735,1
12/15/2011,9,772,1
12/15/2011,10,780,1
12/16/2011,1,780,1
12/16/2011,6,730,1
12/16/2011,9,785,1
12/16/2011,10,784,1
12/17/2011,1,774,1
12/17/2011,1,739,1
12/17/2011,4,720,1
12/17/2011,4,783,1
12/17/2011,6,728,1
12/17/2011,6,737,1
12/17/2011,10,777,1
12/18/2011,1,758,1
12/18/2011,6,777,1
12/19/2011,8,720,1
12/19/2011,9,776,1
12/19/2011,10,756,1
12/20/2011,1,729,1
12/20/2011,6,778,1
12/20/2011,8,723,1
12/20/2011,9,735,1
12/20/2011,10,775,1
12/21/2011,1,777,1
12/21/2011,6,760,1
12/21/2011,7,777,1
12/21/2011,10,780,1
12/22/2011,1,785,1
12/23/2011,4,715,1
12/23/2011,4,777,1
12/23/2011,4,788,1
12/23/2011,7,715,1
12/23/2011,9,784,1
12/24/2011,1,780,1
12/24/2011,1,737,1
12/24/2011,1,739,1
12/24/2011,4,781,1
12/24/2011,6,762,1
12/24/2011,6,777,1
12/24/2011,9,729,1
12/24/2011,9,730,1
12/25/2011,1,714,1
12/25/2011,1,720,1
12/25/2011,4,776,1
12/25/2011,4,788,1
12/25/2011,7,715,1
12/25/2011,8,723,1
12/25/2011,9,729,1
12/25/2011,9,730,1
12/25/2011,10,732,1
12/26/2011,1,732,1
12/26/2011,1,779,1
12/26/2011,4,714,1
12/26/2011,6,728,1
12/26/2011,8,779,1
12/26/2011,9,787,1
12/26/2011,10,728,1
12/27/2011,6,728,1
12/27/2011,9,779,1
12/27/2011,9,780,1
12/28/2011,1,784,1
12/28/2011,4,714,1
12/28/2011,4,738,1
12/28/2011,6,737,1
12/28/2011,7,777,1
12/28/2011,8,714,1
12/28/2011,9,762,1
12/28/2011,9,705,1
12/29/2011,1,784,1
12/29/2011,1,728,1
12/30/2011,1,715,1
12/30/2011,1,735,1
12/30/2011,1,740,1
12/30/2011,4,781,1
12/30/2011,4,784,1
12/30/2011,6,782,1
12/30/2011,7,729,1
12/31/2011,4,723,1
12/31/2011,4,737,1
12/31/2011,6,739,1
12/31/2011,7,777,1
